32541|DeFord, Miriam Allen (1888-1975)|One Way|PS|Science fiction; Short stories|32541.txt
22466|DeKy, Thornton|The Ultimate Experiment|PS|Robots -- Fiction; Short stories; Science fiction|22466.txt
31286|Del Rey, Lester (1915-1993)|Let 'Em Breathe Space!|PS|Manned space flight -- Fiction; Science fiction|31286-8.txt
30234|Del Rey, Lester (1915-1993)|Dead Ringer|PS|Short stories; Science fiction|30234.txt
20212|Del Rey, Lester (1915-1993)|Police Your Planet|PS|Science fiction|20212.txt
19471|Del Rey, Lester (1915-1993)|Badge of Infamy|PS|Science fiction|19471-8.txt
31587|Del Rey, Lester (1915-1993)|Pursuit|PS|Science fiction; Time travel -- Fiction; Subconsciousness -- Fiction|31587-8.txt
24196|Del Rey, Lester (1915-1993)|Victory|PS|War stories; Science fiction|24196-8.txt
30199|Derleth, August William (1909-1971)|McIlvaine's Star|PS|Science fiction; Short stories|30199.txt
32213|Dewey, G. Gordon|Hoiman and the Solar Circuit|PS|Wrestlers -- Fiction; Science fiction; Short stories; Wrestling -- Fiction|32213.txt
31516|Dick, Philip K. (1928-1982)|The Eyes Have It|PS|Humorous stories; Short stories; Science fiction|31516.txt
28698|Dick, Philip K. (1928-1982)|The Crystal Crypt|PS|Short stories; Science fiction|28698.txt
29132|Dick, Philip K. (1928-1982)|The Gun|PS|Short stories; Science fiction|29132.txt
28554|Dick, Philip K. (1928-1982)|Beyond Lies the Wub|PS|Science fiction; Short stories|28554.txt
32032|Dick, Philip K. (1928-1982)|Second Variety|PS|Science fiction; Robots -- Fiction; War stories|32032.txt
32522|Dick, Philip K. (1928-1982)|Mr. Spaceship|PS|War stories; Science fiction; Space ships -- Fiction|32522.txt
30255|Dick, Philip K. (1928-1982)|The Skull|PS|Science fiction; Time travel -- Fiction; Short stories|30255.txt
32832|Dick, Philip K. (1928-1982)|Piper in the Woods|PS|Short stories; Human-alien encounters -- Fiction; Psychological fiction; Science fiction|32832.txt
28767|Dick, Philip K. (1928-1982)|The Defenders|PS|Science fiction|28767.txt
